Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,uSRAM 1K,LSRAM 18K,Math (18x18),PLLs and CCCs,Chip Globals,MSS,10/100/1000 Ethernet,Multi-Mode UART,RCOSC_50MHZ
my_mss_top_0/my_mss_0/CORERESETP_0/Primitives,9,28,0,0,0,0,0,0,0,2,0,0,0,0
vectorblox_mxp_0/core/exec_stage/byte_mul_gen.multiplier_stage/mult_word_gen.0.byte1_shamt_rom/Primitives,3,0,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/core/output_shifter/barrel_shifters_gen.0.barrel_shifter_byteena/Primitives,9,0,0,0,0,0,0,0,0,0,0,0,0,0
my_mss_top_0/my_mss_0/CoreAHBLite_0/matrix4x16/slavestage_16/Primitives,38,2,0,0,0,0,0,0,0,0,0,0,0,0
CoreGPIO_0/Primitives,4,1,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/core/exec_stage/alu_stage/cmov_stage/Primitives,6,0,0,0,0,0,0,0,0,0,0,0,0,0
my_mss_top_0/my_mss_0/CCC_0/Primitives,0,0,0,0,0,0,0,0,1,2,0,0,0,0
my_mss_top_0/my_mss_0/my_mss_MSS_0/Primitives,0,0,0,0,0,0,0,0,0,2,1,0,1,0
vectorblox_mxp_0/core/exec_stage/byte_mul_gen.multiplier_stage/mult_word_gen.0.byte3_shamt_rom/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/core/address_generation/masked_unit_gen.the_masked_unit/half_expander/Primitives,3,0,0,0,0,0,0,0,0,0,0,0,0,0
my_mss_top_0/my_mss_0/CoreAHBLite_0/matrix4x16/masterstage_0/default_slave_sm/Primitives,6,1,0,0,0,0,0,0,0,0,0,0,0,0
my_mss_top_0/my_mss_0/FABOSC_0/Primitives,0,0,0,0,0,0,0,0,0,1,0,0,0,1
CORESPI_0/USPI/UCON/Primitives,1,0,0,0,0,0,0,0,0,0,0,0,0,0
riscV_axi_0/rv/Primitives,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CORESPI_0/USPI/UCC/UCLKMUX1/Primitives,1,0,0,0,0,0,0,0,0,0,0,0,0,0
